,symbol,category,strike,ask,bid,due_date,ativo_alvo,volume,type,close,Dif.Book,p.strike,tmoney,Max_dif_book,VI_bid,VI_ask,days_to_maturity,delta_bid,delta_ask,in/on
717,PETZO419,PUT,4.19,0.26,0.22,2024-03-15,PETZ3,0.0,PUT,4.09,0.04000000000000001,2.4449877750611377,ATM,0.0409,49.69061048505013,60.97729920774746,12,-2.9806779044960763e-06,-1.4480860954790842e-09,OTM
718,PETZC429,CALL,4.29,0.14,0.1,2024-03-15,PETZ3,0.0,CALL,4.09,0.04000000000000001,4.889975550122254,ATM,0.0409,47.97887459079656,59.745431369398005,12,99.99999156457378,99.99999999637784,OTM
719,PETZP390,PUT,3.9,0.23,0.19,2024-04-19,PETZ3,0.0,PUT,4.09,0.04000000000000001,4.645476772616136,ATM,0.0409,49.612798633627584,56.59229872642418,37,0.0,0.0,ITM
720,PETZD400,CALL,4.0,0.42,0.38,2024-04-19,PETZ3,0.0,CALL,4.09,0.03999999999999998,2.200488997555009,ATM,0.0409,48.29504868066585,54.97763062511467,37,100.0,100.0,ITM
721,PETZP400,PUT,4.0,0.25,0.23,2024-04-19,PETZ3,0.0,PUT,4.09,0.01999999999999999,2.200488997555009,ATM,0.0409,49.22029385656301,52.562793764048855,37,0.0,0.0,ITM
722,PETZD410,CALL,4.1,0.36,0.32,2024-04-19,PETZ3,0.0,CALL,4.09,0.03999999999999998,0.24449877750610727,ATM,0.0409,46.85767966324331,53.34788491269418,37,100.0,100.0,OTM
723,PETZP410,PUT,4.1,0.32,0.28,2024-04-19,PETZ3,0.0,PUT,4.09,0.03999999999999998,0.24449877750610727,ATM,0.0409,49.6427220882103,56.13454154667702,37,0.0,0.0,OTM
724,PETZD420,CALL,4.2,0.31,0.28,2024-04-19,PETZ3,0.0,CALL,4.09,0.02999999999999997,2.689486552567245,ATM,0.0409,47.833313714108854,52.6363295430474,37,100.0,100.0,OTM
725,PETZP420,PUT,4.2,0.37,0.33,2024-04-19,PETZ3,0.0,PUT,4.09,0.03999999999999998,2.689486552567245,ATM,0.0409,49.242721306805194,55.648721979294876,37,0.0,0.0,OTM
726,PETZD430,CALL,4.3,0.27,0.23,2024-04-19,PETZ3,0.0,CALL,4.09,0.04000000000000001,5.134474327628361,ATM,0.0409,46.383489944408204,52.80298840947102,37,100.0,100.0,OTM
727,LRENO151,PUT,15.1,0.23,0.19,2024-03-15,LREN3,3400.0,PUT,15.95,0.04000000000000001,5.329153605015672,ATM,0.1595,39.37414587957891,43.09046770608296,12,-0.0008422427382304143,-0.00012511069639176142,ITM
728,LRENO153,PUT,15.35,0.3,0.26,2024-03-15,LREN3,0.0,PUT,15.95,0.03999999999999998,3.7617554858934152,ATM,0.1595,39.24472766806956,42.56783105833364,12,-0.0009052926392416616,-0.0001665836919184649,ITM
729,LRENC156,CALL,15.6,0.82,0.8,2024-03-15,LREN3,100200.0,CALL,15.95,0.019999999999999907,2.194357366771158,ATM,0.1595,40.65995212113924,42.19125853099773,12,99.99954909437628,99.9997951849793,ITM
730,LRENO156,PUT,15.6,0.39,0.34,2024-03-15,LREN3,0.0,PUT,15.95,0.04999999999999999,2.194357366771158,ATM,0.1595,38.61070248420959,42.447108134209216,12,-0.001243135998763023,-0.00017904513309741077,ITM
