,symbol,category,days_to_maturity,strike,close,ask,bid,moneyness,volatility,Preco_ativo,Volatilidade Implicita
364,PETRD515,CALL,16,41.26,1.18,1.45,1.06,ATM,27.189,38.62,27.641779640109398
365,PETRD420,CALL,16,42.01,0.99,0.99,0.78,ATM,27.08,38.62,24.595723221206303
367,PETRD421,CALL,16,42.26,0.9,1.16,0.7,ATM,27.78,38.62,28.090524615303387
370,PETRD440,CALL,16,44.01,0.49,0.55,0.4,ATM,27.958,38.62,24.945761308101485
371,PETRD580,CALL,16,47.76,0.12,0.2,0.0,ATM,27.71,38.62,26.86034683171203
372,PETRD615,CALL,16,51.26,0.05,0.06,0.03,ATM,28.547,38.62,27.155576279989766
373,PETRD710,CALL,16,60.76,0.01,0.02,0.01,ATM,35.394,38.62,35.71255343030805
376,PETRQ286,CALL,16,27.5,0.15,0.27,0.09,ATM,35.696,38.62,46.32871917988079
378,PETRQ359,CALL,16,36.0,0.95,1.35,0.67,ATM,24.695,38.62,35.49127282160507
379,PETRQ369,CALL,16,37.0,1.3,2.95,0.93,ATM,22.724,38.62,51.638742493868314
380,PETRQ379,CALL,16,38.0,1.77,2.55,1.23,ATM,21.307,38.62,41.22481617887381
382,PETRE389,CALL,16,39.0,2.5,5.0,1.34,ATM,33.462,38.62,52.662439303477385
383,PETRQ396,CALL,16,39.75,2.6,2.99,1.91,ATM,19.0,38.62,36.625306793702826
387,PETRE515,CALL,16,41.25,1.69,1.7,1.52,ATM,28.923,38.62,25.416973148672323
388,PETRE414,CALL,16,41.5,1.5,1.53,0.8,ATM,28.923,38.62,24.50241519911543
392,PETRR317,CALL,16,30.58,0.4,1.1,0.11,ATM,29.567,38.62,49.868033864297864
400,PETRS310,CALL,16,28.75,0.3,1.5,0.15,ATM,30.273,38.62,60.041469980756226
403,PETRS35,CALL,16,34.25,1.0,1.52,0.76,ATM,24.654,38.62,39.43593152509603
404,PETRS1,CALL,16,34.5,1.0,5.5,0.45,ATM,23.777,38.62,83.70151640149118
405,PETRS370,CALL,16,35.75,1.21,3.5,0.67,ATM,21.381,38.62,55.94371235059554
406,PETRS359,CALL,16,36.0,1.45,1.29,1.23,ATM,23.147,38.62,30.371711966704716
407,PETRS369,CALL,16,37.0,1.5,1.57,1.51,ATM,22.131,38.62,29.987230105119533
408,PETRS379,CALL,16,38.0,1.81,1.9,1.84,ATM,20.766,38.62,29.704565504192377
409,PETRS384,CALL,16,38.5,2.04,2.07,2.02,ATM,19.166,38.62,29.45188870129986
412,PETRG515,CALL,16,41.25,2.55,2.55,2.29,ATM,30.247,38.62,25.12181051150738
413,PETRT203,CALL,16,6.78,0.01,0.01,0.0,ATM,83.671,38.62,88.30126065948312
414,PETRT450,CALL,16,28.08,0.3,0.34,0.3,ATM,30.062,38.62,37.114446650331615
415,PETRT306,CALL,16,28.33,0.39,0.67,0.3,ATM,31.511,38.62,43.975448363834
416,PETRT299,CALL,16,30.08,0.4,0.64,0.41,ATM,27.817,38.62,38.08156598602509
419,PETRI490,CALL,16,38.75,4.41,5.5,1.8,ATM,34.967,38.62,32.683248817619095
423,PETRX350,CALL,16,28.01,0.59,0.6,0.5,ATM,29.292,38.62,36.96155657984386
424,PETRX299,CALL,16,30.01,0.75,0.87,0.75,ATM,27.616,38.62,36.34154209174557
427,PETRX698,CALL,16,36.01,1.9,2.15,1.8,ATM,22.881,38.62,34.387689243913975
428,PETRX37,CALL,16,36.26,1.96,2.6,0.49,ATM,20.925,38.62,37.51637967427609
429,PETRL45,CALL,16,38.01,5.9,6.95,5.2,ATM,36.676,38.62,31.248995758316934
432,PETRL386,CALL,16,38.76,4.84,6.84,0.0,ATM,33.64,38.62,33.448755487664016
433,PETRX389,CALL,16,39.01,3.0,4.5,2.5,ATM,18.99,38.62,43.90354806801704
434,PETRX391,CALL,16,39.26,3.1,3.05,2.3,ATM,18.656,38.62,32.29360774989535
436,PETRX399,CALL,16,40.01,3.3,7.6,0.0,ATM,18.128,38.62,63.31473744300724
439,PETRA30,CALL,16,23.26,16.5,19.39,16.4,ATM,53.006,38.62,63.79332567657252
440,PETRM30,CALL,16,23.26,0.26,0.44,0.26,ATM,32.765,38.62,44.505933523721595
441,PETRD28,CALL,16,21.76,18.61,21.0,15.0,ATM,59.11,38.62,59.177753051866524
442,PETRP1,CALL,16,23.76,0.31,0.35,0.25,ATM,29.697,38.62,38.02407176989648
443,PETRP432,CALL,16,25.76,0.52,0.7,0.47,ATM,30.548,38.62,40.543090947477886
446,PETRT359,CALL,16,34.63,2.25,2.25,0.01,ATM,22.532,38.62,35.62240715771253
447,PETRT399,CALL,16,38.63,3.4,8.0,2.61,ATM,19.089,38.62,63.76355736606608
448,PETRV34,CALL,16,32.72,1.77,1.79,1.0,ATM,22.745,38.62,35.35072984556354
449,PETRJ457,CALL,16,44.47,5.11,5.5,5.11,ATM,34.404,38.62,21.40046823502472
450,PETRV457,CALL,16,44.47,5.75,9.0,4.0,ATM,11.455,38.62,52.5328231241958
451,PETRW352,CALL,16,35.22,2.2,3.3,2.2,ATM,19.694,38.62,41.16913533073257
453,PETRX35,CALL,16,35.0,2.33,2.64,2.32,ATM,21.51,38.62,36.94820581296688
454,PETRX450,CALL,16,45.0,5.8,6.25,5.7,ATM,10.649,38.62,36.95434826792668
